LI_DTL2:RG26  0.451241000  +154.00  18.341455     29.103048  29.508621
LI_DTL2:RG27  0.453634000  +154.00  18.567994     29.508621  29.916344
LI_DTL2:RG28  0.456007000  +154.00  18.796039     29.916344  30.326201
LI_DTL2:RG29  0.458355000  +154.00  19.025578     30.326201  30.738167
LI_DTL2:RG30  0.460681000  +154.00  19.256585     30.738167  31.152225
LI_DTL2:RG31  0.462991000  +154.00  19.489058     31.152225  31.568358
LI_DTL2:RG32  0.465280000  +154.00  19.723035     31.568358  31.986549
LI_DTL2:RG33  0.467548000  +154.00  19.958456     31.986549  32.406779
LI_DTL2:RG34  0.469796000  +154.00  20.195355     32.406779  32.829028
LI_DTL2:RG35  0.472022000  +154.00  20.433725     32.829028  33.253279
LI_DTL2:RG36  0.474231000  +154.00  20.673548     33.253279  33.679515
LI_DTL2:RG37  0.476419000  +154.00  20.914796     33.679515  34.107718
LI_DTL2:RG38  0.478588000  +154.00  21.157484     34.107718  34.537870
LI_DTL2:RG39  0.480737000  +154.00  21.401667     34.537870  34.969953
LI_DTL2:RG40  0.482867000  +154.00  21.647263     34.969953  35.403951
LI_DTL2:RG41  0.484979000  +154.00  21.894297     35.403951  35.839847
LI_DTL2:RG42  0.487069000  +154.00  22.142793     35.839847  36.277622
LI_DTL2:RG43  0.489197000  +154.00  22.392707     36.277622  36.717309
LI_DTL3:RG01  0.522391000  +154.00  22.895806     36.717309  37.186831
LI_DTL3:RG02  0.524801000  +154.00  23.148639     37.186831  37.658519
LI_DTL3:RG03  0.527122000  +154.00  23.403023     37.658519  38.132294
LI_DTL3:RG04  0.529424000  +154.00  23.658863     38.132294  38.608137
LI_DTL3:RG05  0.531707000  +154.00  23.916197     38.608137  39.086032
LI_DTL3:RG06  0.533973000  +154.00  24.175033     39.086032  39.565964
LI_DTL3:RG07  0.536222000  +154.00  24.435336     39.565964  40.047917
LI_DTL3:RG08  0.538442000  +154.00  24.697136     40.047917  40.531865
LI_DTL3:RG09  0.540631000  +154.00  24.960424     40.531865  41.017781
