 GapName  E0TL[MeV]   phase[deg]   pos[m]    
LI_S04B:RG02  +0.851904  +153.00     46.453024
LI_S04B:RG03  +0.854067  +153.00     46.799450
LI_S04B:RG04  +0.856198  +153.00     47.147512
LI_S04B:RG05  +0.858474  +153.00     47.497166
LI_S05A:RG01  +0.927840  +153.00     48.551614
LI_S05A:RG02  +0.930406  +153.00     48.904540
LI_S05A:RG03  +0.932710  +153.00     49.259145
LI_S05A:RG04  +0.934960  +153.00     49.615445
LI_S05A:RG05  +0.937385  +153.00     49.973417
LI_S05B:RG01  +0.938684  +153.00     51.053042
LI_S05B:RG02  +0.941041  +153.00     51.414337
LI_S05B:RG03  +0.943127  +153.00     51.777197
LI_S05B:RG04  +0.945168  +153.00     52.141721
LI_S05B:RG05  +0.947393  +153.00     52.507850
LI_S06A:RG01  +1.031979  +153.00     53.611424
LI_S06A:RG02  +1.034525  +153.00     53.980952
LI_S06A:RG03  +1.036745  +153.00     54.352230
LI_S06A:RG04  +1.038910  +153.00     54.725247
LI_S06A:RG05  +1.041309  +153.00     55.099997
LI_S06B:RG01  +1.042832  +153.00     56.229560
LI_S06B:RG02  +1.045138  +153.00     56.607680
LI_S06B:RG03  +1.047117  +153.00     56.987541
LI_S06B:RG04  +1.049046  +153.00     57.369138
LI_S06B:RG05  +1.051216  +153.00     57.752364
LI_S07A:RG01  +1.052313  +153.00     58.907460
LI_S07A:RG02  +1.054392  +153.00     59.293965
LI_S07A:RG03  +1.056139  +153.00     59.682181
LI_S07A:RG04  +1.057853  +153.00     60.072032
LI_S07A:RG05  +1.059812  +153.00     60.463543
LI_S07B:RG01  +1.061053  +153.00     61.643498
LI_S07B:RG02  +1.062924  +153.00     62.038240
LI_S07B:RG03  +1.064455  +153.00     62.434596
LI_S07B:RG04  +1.065949  +153.00     62.832554
LI_S07B:RG05  +1.067703  +153.00     63.232104
LI_S08A:RG01  +1.068530  +153.00     64.435812
LI_S08A:RG02  +1.070207  +153.00     64.838538
LI_S08A:RG03  +1.071549  +153.00     65.242792
LI_S08A:RG04  +1.072853  +153.00     65.648631
LI_S08A:RG05  +1.074425  +153.00     66.056059
LI_S08B:RG01  +1.074970  +153.00     67.283139
LI_S08B:RG02  +1.076467  +153.00     67.693674
LI_S08B:RG03  +1.077622  +153.00     68.105694
LI_S08B:RG04  +1.078744  +153.00     68.519182
LI_S08B:RG05  +1.080132  +153.00     68.934193
LI_S09A:RG01  +1.080592  +153.00     70.184077
LI_S09A:RG02  +1.081926  +153.00     70.602098
LI_S09A:RG03  +1.082915  +153.00     71.021636
LI_S09A:RG04  +1.083868  +153.00     71.442597
LI_S09A:RG05  +1.085103  +153.00     71.865022
LI_S09B:RG01  +1.085387  +153.00     73.137107
LI_S09B:RG02  +1.086559  +153.00     73.562491
LI_S09B:RG03  +1.087390  +153.00     73.989320
LI_S09B:RG04  +1.088189  +153.00     74.417616
LI_S09B:RG05  +1.089265  +153.00     74.847322
LI_S10A:RG01  +1.089597  +153.00     76.140966
LI_S10A:RG02  +1.090626  +153.00     76.573547
LI_S10A:RG03  +1.091317  +153.00     77.007513
LI_S10A:RG04  +1.091978  +153.00     77.442848
LI_S10A:RG05  +1.092922  +153.00     77.879549
LI_S10B:RG01  +1.092700  +153.00     79.194248
LI_S10B:RG02  +1.093590  +153.00     79.633789
LI_S10B:RG03  +1.094147  +153.00     80.074657
LI_S10B:RG04  +1.094675  +153.00     80.516874
LI_S10B:RG05  +1.095488  +153.00     80.960479
LI_S11A:RG01  +1.095226  +153.00     82.295776
LI_S11A:RG02  +1.095990  +153.00     82.742056
LI_S11A:RG03  +1.096420  +153.00     83.189708
LI_S11A:RG04  +1.096823  +153.00     83.638713
LI_S11A:RG05  +1.097521  +153.00     84.088989
LI_S11B:RG01  +1.097503  +153.00     85.444112
LI_S11B:RG02  +1.098161  +153.00     85.897049
LI_S11B:RG03  +1.098485  +153.00     86.351271
LI_S11B:RG04  +1.098779  +153.00     86.806735
LI_S11B:RG05  +1.099359  +153.00     87.263516
LI_S12A:RG01  +1.098981  +153.00     88.637917
LI_S12A:RG02  +1.099523  +153.00     89.097273
LI_S12A:RG03  +1.099730  +153.00     89.557890
LI_S12A:RG04  +1.099918  +153.00     90.019761
LI_S12A:RG05  +1.100397  +153.00     90.482890
LI_S12B:RG01  +1.099822  +153.00     91.876019
LI_S12B:RG02  +1.100270  +153.00     92.341627
LI_S12B:RG03  +1.100385  +153.00     92.808472
LI_S12B:RG04  +1.100479  +153.00     93.276557
LI_S12B:RG05  +1.100870  +153.00     93.745878
LI_S13A:RG01  +1.100312  +153.00     95.158277
LI_S13A:RG02  +1.100667  +153.00     95.630003
LI_S13A:RG03  +1.100691  +153.00     96.102894
LI_S13A:RG04  +1.100698  +153.00     96.577069
LI_S13A:RG05  +1.100994  +153.00     97.052394
LI_S13B:RG01  +1.100364  +153.00     98.482709
LI_S13B:RG02  +1.100638  +153.00     98.960393
LI_S13B:RG03  +1.100582  +153.00     99.439262
LI_S13B:RG04  +1.100508  +153.00     99.919326
LI_S13B:RG05  +1.100723  +153.00    100.400550
