z[m]        G0[T/m]       G1[T/m] 
     1.12969600        0.000000      0.000000 
     1.13270051        0.000000      0.000000 
     1.13570502        0.000000      0.000000 
     1.13870953        0.000000      0.000000 
     1.14171404        0.000000      0.000000 
     1.14471855        0.000000      0.000000 
     1.14772306        0.000000      0.000000 
     1.15072757        0.000000      0.000000 
     1.15373208        0.000000      0.000000 
     1.15673659        0.000000      0.000000 
     1.15974110        0.000000      0.000000 
     1.16274562        0.000000      0.000000 
     1.16575013        0.000000      0.000000 
     1.16875464        0.000000      0.000000 
     1.17175915        0.000000      0.000000 
     1.17476366        0.000000      0.000000 
     1.17776817        0.000000      0.000000 
     1.18077268        0.000000      0.000000 
     1.18377719        0.000000      0.000000 
     1.18678170        0.000000      0.000000 
     1.18978621        0.000000      0.000000 
     1.19279072        0.000000      0.000000 
     1.19579523        0.000000      0.000000 
     1.19879974        0.000000      0.000000 
     1.20180425        0.000000      0.000000 
     1.20480876        0.000000      0.000000 
     1.20781327        0.000000      0.000000 
     1.21081779        0.000000      0.000000 
     1.21382230        0.000000      0.000000 
     1.21682681        0.000000      0.000000 
     1.21983132        0.000000      0.000000 
     1.22283583        0.000000      0.000000 
     1.22584034        0.000000      0.000000 
     1.22884485        0.000000      0.000000 
     1.23184936        0.000000      0.000000 
     1.23485387        0.000000      0.000000 
     1.23785838        0.000000      0.000000 
     1.24086289        0.000000      0.000000 
     1.24386740        0.000000      0.000000 
     1.24687191        0.000000      0.000000 
     1.24987642        0.000000      0.000000 
     1.25288093        0.000000      0.000000 
     1.25588544        0.000000      0.000000 
     1.25888996        0.000000      0.000000 
     1.26189447        0.000000      0.000000 
     1.26489898        0.000000      0.000000 
     1.26790349        0.000000      0.000000 
     1.27090800        0.000000      0.000000 
     1.27391251        0.000000      0.000000 
     1.27691702        0.000000      0.000000 
     1.27992153        0.000000      0.000000 
     1.28292604        0.000000      0.000000 
     1.28593055        0.000000      0.000000 
     1.28893506        0.000000      0.000000 
     1.29193957        0.000000      0.000000 
     1.29494408        0.000000      0.000000 
     1.29794859        0.000000      0.000000 
     1.30095310        0.000000      0.000000 
     1.30395762        0.000000      0.000000 
     1.30696213        0.000000      0.000000 
     1.30996664        0.000000      0.000000 
     1.31297115        0.000000      0.000000 
     1.31597566        0.000000      0.000000 
     1.31898017        0.000000      0.000000 
     1.32198468        0.000000      0.000000 
     1.32498919        0.000000      0.000000 
     1.32799370        0.000000      0.000000 
     1.33099821        0.000000      0.000000 
     1.33400272        0.000000      0.000000 
     1.33700723        0.000000      0.000000 
     1.34001174        0.000000      0.000000 
     1.34301625        0.000000      0.000000 
     1.34602076        0.000000      0.000000 
     1.34902527        0.000000      0.000000 
     1.35202979        0.000000      0.107833 
     1.35503430        0.000000      0.136916 
     1.35803881        0.000000      0.174584 
     1.36104332        0.000000      0.223453 
     1.36404783        0.000000      0.286883 
     1.36705234        0.000000      0.369137 
     1.37005685        0.000000      0.475501 
     1.37306136        0.000000      0.612355 
     1.37606587        0.000000      0.787098 
     1.37907038        0.000000      1.007836 
     1.38207489        0.000000      1.282735 
     1.38507940        0.000000      1.618943 
     1.38808391        0.000000      2.021108 
     1.39108842        0.000000      2.489666 
     1.39409293        0.000000      3.019286 
     1.39709744        0.000000      3.598041 
     1.40010196        0.000000      4.207824 
     1.40310647        8.865530      4.826220 
     1.40611098        8.865530      5.429525 
     1.40911549        8.865530      5.996130 
     1.41212000        8.865530      6.509303 
     1.41512451        8.865530      6.958704 
     1.41812902        8.865530      7.340431 
     1.42113353        8.865530      7.655943 
     1.42413804        8.865530      7.910408 
     1.42714255        8.865530      8.110996 
     1.43014706        8.865530      8.265460 
     1.43315157        8.865530      8.381138 
     1.43615608        8.865530      8.464347 
     1.43916059        8.865530      8.520083 
     1.44216510        8.865530      8.551909 
     1.44516961        8.865530      8.561936 
     1.44817413        8.865530      8.550840 
     1.45117864        8.865530      8.517873 
     1.45418315        8.865530      8.460851 
     1.45718766        8.865530      8.376139 
     1.46019217        8.865530      8.258670 
     1.46319668        8.865530      8.102067 
     1.46620119        8.865530      7.898952 
     1.46920570        8.865530      7.641575 
     1.47221021        8.865530      7.322830 
     1.47521472        8.865530      6.937693 
     1.47821923        8.865530      6.484938 
     1.48122374        8.865530      5.968772 
     1.48422825        8.865530      5.399871 
     1.48723276        8.865530      4.795259 
     1.49023727        0.000000      4.176727 
     1.49324179        0.000000      3.567994 
     1.49624630        0.000000      2.991326 
     1.49925081        0.000000      2.464551 
     1.50225532        0.000000      1.999261 
     1.50525983        0.000000      1.600468 
     1.50826434        0.000000      1.267485 
     1.51126885        0.000000      0.995498 
     1.51427336        0.000000      0.777273 
     1.51727787        0.000000      0.604627 
     1.52028238        0.000000      0.469476 
     1.52328689        0.000000      0.364469 
     1.52629140        0.000000      0.283280 
     1.52929591        0.000000      0.220676 
     1.53230042        0.000000      0.172445 
     1.53530493        0.000000      0.135266 
     1.53830944        0.000000      0.106557 
     1.54131396        0.000000      0.000000 
     1.54431847        0.000000      0.000000 
     1.54732298        0.000000      0.000000 
     1.55032749        0.000000      0.000000 
     1.55333200        0.000000      0.000000 
     1.55633651        0.000000      0.000000 
     1.55934102        0.000000      0.000000 
