z[m]        G0[T/m]       G1[T/m] 
     0.92437347       68.693656     67.621962 
     0.92737468       68.693656     68.282000 
     0.93037589       68.693656     68.530073 
     0.93337711       68.693656     68.593728 
     0.93637832       68.693656     68.528226 
     0.93937953       68.693656     68.276678 
     0.94238074       68.693656     67.608146 
     0.94538196       68.693656     65.880897 
     0.94838317       68.693656     61.560236 
     0.95138438       68.693656     52.097241 
     0.95438559       68.693656     36.618480 
     0.95738681        0.000000     20.184974 
     0.96038802        0.000000      9.077212 
     0.96338923        0.000000      3.698754 
     0.96639044        0.000000      1.497414 
     0.96939166        0.000000      0.000000 
     0.97239287        0.000000      0.000000 
     0.97539408        0.000000      0.000000 
     0.97839529        0.000000      0.000000 
     0.98139651        0.000000      0.000000 
     0.98439772        0.000000      0.000000 
     0.98739893        0.000000      0.000000 
     0.99040014        0.000000     -1.179691 
     0.99340136        0.000000     -2.890472 
     0.99640257        0.000000     -7.156704 
     0.99940378        0.000000    -16.500019 
     1.00240499        0.000000    -31.798443 
     1.00540621      -67.952630    -48.063207 
     1.00840742      -67.952630    -59.069745 
     1.01140863      -67.952630    -64.400857 
     1.01440985      -67.952630    -66.578677 
     1.01741106      -67.952630    -67.424323 
     1.02041227      -67.952630    -67.747450 
     1.02341348      -67.952630    -67.849560 
     1.02641470      -67.952630    -67.820301 
     1.02941591      -67.952630    -67.634440 
     1.03241712      -67.952630    -67.124327 
     1.03541833      -67.952630    -65.803031 
     1.03841955      -67.952630    -62.446425 
     1.04142076      -67.952630    -54.716123 
     1.04442197      -67.952630    -40.797160 
     1.04742318        0.000000    -24.037976 
     1.05042440        0.000000    -11.319938 
     1.05342561        0.000000     -4.687476 
     1.05642682        0.000000     -1.888329 
     1.05942803        0.000000     -0.787077 
     1.06242925        0.000000      0.000000 
     1.06543046        0.000000      0.000000 
     1.06843167        0.000000      0.000000 
     1.07143288        0.000000      0.000000 
     1.07443410        0.000000      0.000000 
     1.07743531        0.000000      0.000000 
     1.08043652        0.000000      0.000000 
     1.08343773        0.000000      1.444569 
     1.08643895        0.000000      3.566758 
     1.08944016        0.000000      8.759577 
     1.09244137        0.000000     19.526358 
     1.09544258       67.211605     35.559433 
     1.09844380       67.211605     50.773933 
     1.10144501       67.211605     60.131171 
     1.10444622       67.211605     64.417721 
     1.10744743       67.211605     66.133257 
     1.11044865       67.211605     66.797359 
     1.11344986       67.211605     67.047562 
     1.11645107       67.211605     67.113805 
     1.11945228       67.211605     67.053654 
     1.12245350       67.211605     66.814919 
     1.12545471       67.211605     66.178843 
     1.12845592       67.211605     64.534992 
     1.13145713       67.211605     60.414710 
     1.13445835       67.211605     51.336312 
     1.13745956       67.211605     36.323534 
     1.14046077        0.000000     20.164649 
     1.14346199        0.000000      9.109734 
     1.14646320        0.000000      3.717164 
     1.14946441        0.000000      1.503779 
     1.15246562        0.000000      0.000000 
     1.15546684        0.000000      0.000000 
     1.15846805        0.000000      0.000000 
     1.16146926        0.000000      0.000000 
     1.16447047        0.000000      0.000000 
     1.16747169        0.000000      0.000000 
     1.17047290        0.000000      0.000000 
     1.17347411        0.000000      0.000000 
     1.17647532        0.000000     -1.117111 
     1.17947654        0.000000     -2.733245 
     1.18247775        0.000000     -6.772955 
     1.18547896        0.000000    -15.688238 
     1.18848017        0.000000    -30.492696 
     1.19148139      -66.515271    -46.513760 
     1.19448260      -66.515271    -57.526532 
     1.19748381      -66.515271    -62.912273 
     1.20048502      -66.515271    -65.120853 
     1.20348624      -66.515271    -65.979005 
     1.20648745      -66.515271    -66.307390 
     1.20948866      -66.515271    -66.413106 
     1.21248987      -66.515271    -66.389141 
     1.21549109      -66.515271    -66.214839 
     1.21849230      -66.515271    -65.733356 
     1.22149351      -66.515271    -64.485693 
     1.22449472      -66.515271    -61.310928 
     1.22749594      -66.515271    -53.954741 
     1.23049715      -66.515271    -40.543534 
     1.23349836        0.000000    -24.114658 
     1.23649957        0.000000    -11.436531 
     1.23950079        0.000000     -4.749248 
     1.24250200        0.000000     -1.912538 
     1.24550321        0.000000     -0.795623 
     1.24850442        0.000000      0.000000 
     1.25150564        0.000000      0.000000 
     1.25450685        0.000000      0.000000 
     1.25750806        0.000000      0.000000 
     1.26050928        0.000000      0.000000 
     1.26351049        0.000000      0.000000 
     1.26651170        0.000000      0.000000 
     1.26951291        0.000000      0.000000 
     1.27251413        0.000000      1.354744 
     1.27551534        0.000000      3.340508 
     1.27851655        0.000000      8.220858 
     1.28151776        0.000000     18.460291 
     1.28451898       65.818937     34.012641 
     1.28752019       65.818937     49.112682 
     1.29052140       65.818937     58.573823 
     1.29352261       65.818937     62.953418 
     1.29652383       65.818937     64.712533 
     1.29952504       65.818937     65.393845 
     1.30252625       65.818937     65.651465 
     1.30552746       65.818937     65.722897 
     1.30852868       65.818937     65.670326 
     1.31152989       65.818937     65.448209 
     1.31453110       65.818937     64.853663 
     1.31753231       65.818937     63.316457 
     1.32053353       65.818937     59.451349 
     1.32353474       65.818937     50.852422 
     1.32653595       65.818937     36.375710 
     1.32953716        0.000000     20.434641 
     1.33253838        0.000000      9.304443 
     1.33553959        0.000000      3.806097 
     1.33854080        0.000000      1.538051 
     1.34154201        0.000000      0.000000 
     1.34454323        0.000000      0.000000 
     1.34754444        0.000000      0.000000 
     1.35054565        0.000000      0.000000 
     1.35354686        0.000000      0.000000 
     1.35654808        0.000000      0.000000 
     1.35954929        0.000000      0.000000 
     1.36255050        0.000000      0.000000 
     1.36555171        0.000000      0.000000 
     1.36855293        0.000000     -1.051585 
     1.37155414        0.000000     -2.568318 
     1.37455535        0.000000     -6.369576 
     1.37755656        0.000000    -14.833896 
     1.38055778        0.000000    -29.126087 
     1.38355899      -65.161534    -44.926420 
     1.38656020      -65.161534    -55.997355 
     1.38956142      -65.161534    -61.476653 
     1.39256263      -65.161534    -63.734552 
     1.39556384      -65.161534    -64.612632 
     1.39856505      -65.161534    -64.949168 
