 quad    field[T/m]    length[m]     pos[m]  
LI_S01A:QM02  +15.786200    0.113248     32.276132
LI_S01B:QM01  -14.825300    0.113248     34.135115
LI_S01B:QM02  +14.601300    0.113248     34.385114
LI_S02A:QM01  -14.892526    0.113248     36.296088
LI_S02A:QM02  +14.892526    0.113248     36.546096
LI_S02B:QM01  -15.064222    0.113248     38.508305
LI_S02B:QM02  +15.064222    0.113248     38.758312
LI_S03A:QM01  -15.230482    0.113248     40.773640
LI_S03A:QM02  +15.230482    0.113248     41.023630
LI_S03B:QM01  -15.399457    0.113248     43.093231
LI_S03B:QM02  +15.399457    0.113248     43.343238
LI_S04A:QM01  -15.563501    0.113248     45.467935
LI_S04A:QM02  +15.563501    0.113248     45.717952
LI_S04B:QM01  -15.717433    0.113248     47.898889
LI_S04B:QM02  +15.717433    0.113248     48.148883
LI_S05A:QM01  -15.865247    0.113248     50.388123
LI_S05A:QM02  +15.865247    0.113248     50.638107
LI_S05B:QM01  -16.040166    0.113248     52.934180
LI_S05B:QM02  +16.040166    0.113248     53.184185
LI_S06A:QM01  -16.208606    0.113248     55.539365
LI_S06A:QM02  +16.208606    0.113248     55.789415
LI_S06B:QM01  -16.083875    0.113248     58.204521
LI_S06B:QM02  +16.083875    0.113248     58.454494
LI_S07A:QM01  -15.958543    0.113248     60.928132
LI_S07A:QM02  +15.958543    0.113248     61.178139
LI_S07B:QM01  -15.832885    0.113248     63.708629
LI_S07B:QM02  +15.832885    0.113248     63.958604
LI_S08A:QM01  -15.707172    0.113248     66.544028
LI_S08A:QM02  +15.707172    0.113248     66.794032
LI_S08B:QM01  -15.582038    0.113248     69.433634
LI_S08B:QM02  +15.582038    0.113248     69.683620
LI_S09A:QM01  -15.457731    0.113248     72.375671
LI_S09A:QM02  +15.457731    0.113248     72.625656
LI_S09B:QM01  -15.333650    0.113248     75.368690
LI_S09B:QM02  +15.333650    0.113248     75.618681
LI_S10A:QM01  -15.209842    0.113248     78.411540
LI_S10A:QM02  +15.209842    0.113248     78.661517
LI_S10B:QM01  -15.087125    0.113248     81.502743
LI_S10B:QM02  +15.087125    0.113248     81.752735
LI_S11A:QM01  -14.966438    0.113248     84.641160
LI_S11A:QM02  +14.966438    0.113248     84.891155
LI_S11B:QM01  -14.846619    0.113248     87.825480
LI_S11B:QM02  +14.846619    0.113248     88.075472
LI_S12A:QM01  -14.727991    0.113248     91.054474
LI_S12A:QM02  +14.727991    0.113248     91.304478
LI_S12B:QM01  -14.610748    0.113248     94.326948
LI_S12B:QM02  +14.610748    0.113248     94.576948
LI_S13A:QM01  -14.494960    0.113248     97.642071
LI_S13A:QM02  +14.494960    0.113248     97.892082
LI_S13B:QM01  -14.380975    0.113248    100.998545
LI_S13B:QM02  +14.380975    0.113248    101.248539
LI_S14A:QM01  -14.268281    0.113248    104.395385
LI_S14A:QM02  +14.268281    0.113248    104.645370
LI_S14B:QM01  -14.156958    0.113248    107.831336
LI_S14B:QM02  +14.156958    0.113248    108.081344
LI_S15A:QM01  -14.047333    0.113248    111.305689
LI_S15A:QM02  +14.047333    0.113248    111.555685
LI_S15B:QM01  -13.939351    0.113248    114.817073
LI_S15B:QM02  +13.939351    0.113248    115.067078
LI_S16A:QM01  -13.833242    0.113248    118.364797
LI_S16A:QM02  +13.833242    0.113248    118.614797
LI_MEBT2:QM01  -15.077942    0.113248    121.948019
LI_MEBT2:QM02  +15.077942    0.113248    122.198019
LI_MEBT2:QM03  -10.739243    0.144250    125.295603
LI_MEBT2:QM04  +10.739243    0.144250    125.595603
LI_MEBT2:QM05  -12.054478    0.144250    128.439536
LI_MEBT2:QM06  +12.054478    0.144250    128.739536
LI_MEBT2:QM07  -13.363260    0.144250    131.354820
LI_MEBT2:QM08  +13.363260    0.144250    131.654820
LI_MEBT2:QM09  -15.563100    0.144250    134.041454
LI_MEBT2:QM10  +15.660600    0.144250    134.341454
LI_MEBT2:QM11  -15.142500    0.144250    136.499439
LI_MEBT2:QM12  +15.060900    0.144250    136.799439
LI_ACS01A:QM01  -18.261203    0.144250    138.738255
LI_ACS01A:QM02  +18.261203    0.144250    139.038255
LI_ACS01B:QM01  -18.223593    0.144250    140.996048
LI_ACS01B:QM02  +18.223593    0.144250    141.296048
LI_ACS02A:QM01  -18.151946    0.144250    143.278610
LI_ACS02A:QM02  +18.151946    0.144250    143.578610
LI_ACS02B:QM01  -18.109419    0.144250    145.567628
LI_ACS02B:QM02  +18.109419    0.144250    145.867628
LI_ACS03A:QM01  -18.071157    0.144250    147.886861
LI_ACS03A:QM02  +18.071157    0.144250    148.186861
LI_ACS03B:QM01  -18.029078    0.144250    150.212343
LI_ACS03B:QM02  +18.029078    0.144250    150.512343
LI_ACS04A:QM01  -17.991101    0.144250    152.567322
LI_ACS04A:QM02  +17.991101    0.144250    152.867322
LI_ACS04B:QM01  -17.948544    0.144250    154.928403
LI_ACS04B:QM02  +17.948544    0.144250    155.228403
LI_ACS05A:QM01  -17.909527    0.144250    157.318279
LI_ACS05A:QM02  +17.909527    0.144250    157.618279
LI_ACS05B:QM01  -17.867540    0.144250    159.714109
LI_ACS05B:QM02  +17.867540    0.144250    160.014109
LI_ACS06A:QM01  -17.828976    0.144250    162.138043
LI_ACS06A:QM02  +17.828976    0.144250    162.438043
LI_ACS06B:QM01  -15.801097    0.160184    164.560287
LI_ACS06B:QM02  +15.801097    0.160184    164.875287
LI_ACS07A:QM01  -15.766004    0.160184    167.017451
LI_ACS07A:QM02  +15.766004    0.160184    167.332451
LI_ACS07B:QM01  -15.728389    0.160184    169.480284
LI_ACS07B:QM02  +15.728389    0.160184    169.795284
LI_ACS08A:QM01  -15.693334    0.160184    171.969871
LI_ACS08A:QM02  +15.693334    0.160184    172.284871
LI_ACS08B:QM01  -15.656045    0.160184    174.464988
LI_ACS08B:QM02  +15.656045    0.160184    174.779988
LI_ACS09A:QM01  -15.621018    0.160184    176.986209
LI_ACS09A:QM02  +15.621018    0.160184    177.301209
LI_ACS09B:QM01  -15.583925    0.160184    179.512824
LI_ACS09B:QM02  +15.583925    0.160184    179.827824
LI_ACS10A:QM01  -15.548995    0.160184    182.064899
LI_ACS10A:QM02  +15.548995    0.160184    182.379899
LI_ACS10B:QM01  -15.496863    0.160184    184.622153
LI_ACS10B:QM02  +15.496863    0.160184    184.937153
LI_ACS11A:QM01  -15.473751    0.160184    187.199392
LI_ACS11A:QM02  +15.473751    0.160184    187.514392
LI_ACS11B:QM01  -13.944741    0.175134    189.783941
LI_ACS11B:QM02  +13.944741    0.175134    190.113941
LI_ACS12A:QM01  -13.899763    0.175134    192.395343
LI_ACS12A:QM02  +13.899763    0.175134    192.725343
LI_ACS12B:QM01  -13.866530    0.175134    195.011836
LI_ACS12B:QM02  +13.866530    0.175134    195.341836
LI_ACS13A:QM01  -13.834856    0.175134    197.651927
LI_ACS13A:QM02  +13.834856    0.175134    197.981927
LI_ACS13B:QM01  -13.801985    0.175134    200.296895
LI_ACS13B:QM02  +13.801985    0.175134    200.626895
LI_ACS14A:QM01  -13.770498    0.175134    202.964879
LI_ACS14A:QM02  +13.770498    0.175134    203.294879
LI_ACS14B:QM01  -13.737695    0.175134    205.637618
LI_ACS14B:QM02  +13.737695    0.175134    205.967618
LI_ACS15A:QM01  -13.706365    0.175134    208.332798
LI_ACS15A:QM02  +13.706365    0.175134    208.662798
LI_ACS15B:QM01  -13.673747    0.175134    211.032615
LI_ACS15B:QM02  +13.673747    0.175134    211.362615
LI_ACS16A:QM01  -13.642379    0.175134    213.754314
LI_ACS16A:QM02  +13.642379    0.175134    214.084314
LI_ACS16B:QM01  -13.609998    0.175134    216.480533
LI_ACS16B:QM02  +13.609998    0.175134    216.810533
LI_ACS17A:QM01  -13.578829    0.175134    219.228084
LI_ACS17A:QM02  +13.578829    0.175134    219.558084
LI_ACS17B:QM01  -13.546765    0.175134    221.980043
LI_ACS17B:QM02  +13.546765    0.175134    222.310043
LI_ACS18A:QM01  -13.515848    0.175134    224.752805
LI_ACS18A:QM02  +13.515848    0.175134    225.082805
LI_ACS18B:QM01  -13.483944    0.175134    227.529864
LI_ACS18B:QM02  +13.483944    0.175134    227.859864
LI_ACS19A:QM01  -13.453120    0.175134    230.327205
LI_ACS19A:QM02  +13.453120    0.175134    230.657205
LI_ACS19B:QM01  -13.421635    0.175134    233.128736
LI_ACS19B:QM02  +13.421635    0.175134    233.458736
LI_ACS20A:QM01  -13.391088    0.175134    235.950041
LI_ACS20A:QM02  +13.391088    0.175134    236.280041
LI_ACS20B:QM01  -13.352643    0.175134    238.775366
LI_ACS20B:QM02  +13.352643    0.175134    239.105366
LI_ACS21A:QM01  -13.328195    0.175134    241.616217
LI_ACS21A:QM02  +13.328195    0.175134    241.946217
LI_ACS21B:QM01  -13.303747    0.175134    244.468560
LI_ACS21B:QM02  +13.303747    0.175134    244.798560
LI_L3BT:QM01   -6.932710    0.263118    246.500835
LI_L3BT:QM02   +6.943590    0.263118    247.050820
LI_L3BT:QM03   -7.506920    0.263118    250.200921
LI_L3BT:QM04   +7.147850    0.263118    250.750889
LI_L3BT:QM05   -7.807555    0.263118    253.900914
LI_L3BT:QM06   +7.807555    0.263118    254.450895
LI_L3BT:QM07   -7.807555    0.263118    257.601017
LI_L3BT:QM08   +7.807555    0.263118    258.151030
LI_L3BT:QM09   -7.807555    0.263118    261.301008
LI_L3BT:QM10   +7.807555    0.263118    261.851085
LI_L3BT:QM11   -7.807555    0.263118    265.001065
LI_L3BT:QM12   +7.807555    0.263118    265.551078
LI_L3BT:QM13   -7.807555    0.263118    268.701175
LI_L3BT:QM14   +7.807555    0.263118    269.251277
LI_L3BT:QM15   -5.436280    0.263118    272.873348
LI_L3BT:QM16   +6.266830    0.263118    273.423324
LI_L3BT:QM17   -8.622350    0.263118    276.101323
LI_L3BT:QM18   +7.580890    0.263118    276.651416
LI_L3BT:QM19   +3.901900    0.319633    279.689956
LI_L3BT:QM20   -3.659085    0.719769    280.490041
LI_L3BT:QM21   +3.569708    0.319633    281.290053
LI_L3BT:QM22   +2.649589    0.419769    284.606753
LI_L3BT:QM23   -2.587016    0.819769    286.706786
LI_L3BT:QM24   +2.649589    0.419769    288.806825
LI_L3BT:QM25   +3.569708    0.319633    292.123525
LI_L3BT:QM26   -3.659085    0.719769    292.923541
LI_L3BT:QM27   +3.901900    0.319633    293.723658
LI_L3BT:QM28   +3.901900    0.319633    294.423678
LI_L3BT:QM29   -3.659085    0.719769    295.223715
LI_L3BT:QM30   +3.569708    0.319633    296.023721
LI_L3BT:QM31   +2.649589    0.419769    299.340421
LI_L3BT:QM32   -2.587016    0.819769    301.440587
LI_L3BT:QM33   +2.649589    0.419769    303.540492
LI_L3BT:QM34   +3.569708    0.319633    306.857192
LI_L3BT:QM35   -3.659085    0.719769    307.657153
LI_L3BT:QM36   +3.901900    0.319633    308.457158
LI_L3BT:QM37   +3.901900    0.319633    309.157186
LI_L3BT:QM38   -3.659085    0.719769    309.957180
LI_L3BT:QM39   +3.569708    0.319633    310.757165
LI_L3BT:QM40   +2.649589    0.419769    314.073865
LI_L3BT:QM41   -2.587016    0.819769    316.173861
LI_L3BT:QM42   +2.649589    0.419769    318.273814
LI_L3BT:QM43   +3.569708    0.319633    321.590514
LI_L3BT:QM44   -3.659085    0.719769    322.390517
LI_L3BT:QM45   +3.901900    0.319633    323.190571
LI_L3BT:QM46   -0.804162    0.319633    325.491036
LI_L3BT:QM47   +2.950140    0.319633    327.791031
LI_L3BT:QM48   -3.027320    0.319633    330.090575
LI_L3BT:QM49   +2.295350    0.319633    332.390537
LI_L3BT:QM50   -2.270000    0.319633    333.390265
LI_L3BT:QM51   +2.270000    0.317511    337.390517
LI_L3BT:QM52   -2.270000    0.317511    341.390399
LI_L3BT:QM53   +2.216301    0.317511    345.390457
LI_L3BT:QM54   -2.270000    0.317511    349.390380
LI_L3BT:QM55   +2.270000    0.317511    353.390505
LI_L3BT:QM56   -2.270000    0.317511    357.390473
LI_L3BT:QM57   +2.270000    0.317511    361.390606
LI_L3BT:QM58   -2.270000    0.317511    365.390579
LI_L3BT:QM59   +2.270000    0.317511    369.390603
LI_L3BT:QM60   -2.270000    0.317511    373.390679
LI_L3BT:QM61   +1.960470    0.317511    377.390483
LI_L3BT:QM62   -3.047637    0.321703    381.319214
LI_L3BT:QM63   +2.141982    0.321703    382.119680
LI_L3BT:QM64   +2.664700    0.313673    387.283857
LI_L3BT:QM65   -3.108532    0.319302    387.882768
LI_L3BT:QM66   +2.521998    0.313673    393.512855
LI_L3BT:QM67   -3.791965    0.319302    394.873084
LI_L3BT:QM68   +1.904325    0.313673    396.235203
LI_L3BT:QM69   -2.683175    0.313673    402.737376
LI_L3BT:QM70   +0.000000    0.313673    403.636399
LI_L3BT:QM71   +3.161056    0.313673    406.037237
LI_L3BT:QM72   -7.229117    0.319302    409.237049
LI_L3BT:QM73   +4.005343    0.319302    410.537527
LI_L3BT:QM74   -4.611123    0.319302    412.838589
LI_L3BT:QM75   +3.849464    0.319302    414.840764
LI_L3BT:QM76   -3.997868    0.319302    416.941519
LI_L3BT:QM77   +1.651947    0.456990    420.016091
LI_L3BT:QM78   +1.440848    0.456990    423.466327
LI_L3BT:QM79   -2.272814    0.456990    424.366283
RCS_BD:QMD01   -0.731636    0.450000    445.501991
