 rf_gap   eKinIn[MeV] eKinOut[MeV]  beta_avg 
LI_S14A:RG01    161.416752  162.396852     0.52195586
LI_S14A:RG02    162.396852  163.377015     0.52319340
LI_S14A:RG03    163.377015  164.356724     0.52442449
LI_S14A:RG04    164.356724  165.336077     0.52564893
LI_S14A:RG05    165.336077  166.315420     0.52686705
LI_S14B:RG01    166.315420  167.295051     0.52807931
LI_S14B:RG02    167.295051  168.274638     0.52928574
LI_S14B:RG03    168.274638  169.253820     0.53048597
LI_S14B:RG04    169.253820  170.232662     0.53167986
LI_S14B:RG05    170.232662  171.211599     0.53286778
LI_S15A:RG01    171.211599  172.190229     0.53404981
LI_S15A:RG02    172.190229  173.168693     0.53522583
LI_S15A:RG03    173.168693  174.146656     0.53639579
LI_S15A:RG04    174.146656  175.123958     0.53755943
LI_S15A:RG05    175.123958  176.101102     0.53871704
LI_S15B:RG01    176.101102  177.079563     0.53986981
LI_S15B:RG02    177.079563  178.057869     0.54101778
LI_S15B:RG03    178.057869  179.035669     0.54215994
LI_S15B:RG04    179.035669  180.012951     0.54329612
LI_S15B:RG05    180.012951  180.989919     0.54442648
LI_S16A:RG01    180.989919  181.965758     0.54555073
LI_S16A:RG02    181.965758  182.941170     0.54666885
LI_S16A:RG03    182.941170  183.915896     0.54778114
LI_S16A:RG04    183.915896  184.889921     0.54888752
LI_S16A:RG05    184.889921  185.863503     0.54998815
LI_S16B:RG01    185.863503  186.836458     0.55108315
LI_S16B:RG02    186.836458  187.808972     0.55217254
LI_S16B:RG03    187.808972  188.780791     0.55325635
LI_S16B:RG04    188.780791  189.751908     0.55433447
LI_S16B:RG05    189.751908  190.722586     0.55540710
LI_MEBT2:BNCH01:Rg01    190.722586  190.722586     0.55594149
LI_MEBT2:BNCH01:Rg02    190.722586  190.722652     0.55594152
LI_MEBT2:BNCH01:Rg03    190.722652  190.722782     0.55594163
LI_MEBT2:BNCH01:Rg04    190.722782  190.722978     0.55594181
LI_MEBT2:BNCH01:Rg05    190.722978  190.723239     0.55594206
LI_MEBT2:BNCH01:Rg06    190.723239  190.723888     0.55594256
