 rf_gap   eKinIn[MeV] eKinOut[MeV]  beta_avg 
LI_ACS19B:RG10    375.642662  375.960707     0.69990082
LI_ACS19B:RG11    375.960707  376.277245     0.70007659
LI_ACS19B:RG12    376.277245  376.592108     0.70025131
LI_ACS19B:RG13    376.592108  376.905120     0.70042488
LI_ACS19B:RG14    376.905120  377.216102     0.70059722
LI_ACS19B:RG15    377.216102  377.524868     0.70076822
LI_ACS19B:RG16    377.524868  377.831226     0.70093778
LI_ACS19B:RG17    377.831226  378.134974     0.70110580
LI_ACS20A:RG01    378.134974  378.441867     0.70127381
LI_ACS20A:RG02    378.441867  378.751296     0.70144323
LI_ACS20A:RG03    378.751296  379.063062     0.70161382
LI_ACS20A:RG04    379.063062  379.376974     0.70178548
LI_ACS20A:RG05    379.376974  379.692845     0.70195811
LI_ACS20A:RG06    379.692845  380.010496     0.70213159
LI_ACS20A:RG07    380.010496  380.329753     0.70230582
LI_ACS20A:RG08    380.329753  380.650451     0.70248072
LI_ACS20A:RG09    380.650451  380.972426     0.70265620
LI_ACS20A:RG10    380.972426  381.295521     0.70283215
LI_ACS20A:RG11    381.295521  381.619584     0.70300850
LI_ACS20A:RG12    381.619584  381.944466     0.70318516
LI_ACS20A:RG13    381.944466  382.270022     0.70336205
LI_ACS20A:RG14    382.270022  382.596109     0.70353910
LI_ACS20A:RG15    382.596109  382.922586     0.70371622
LI_ACS20A:RG16    382.922586  383.249316     0.70389334
LI_ACS20A:RG17    383.249316  383.576161     0.70407038
LI_ACS20B:RG01    383.576161  383.903207     0.70424733
LI_ACS20B:RG02    383.903207  384.230096     0.70442412
LI_ACS20B:RG03    384.230096  384.556690     0.70460061
LI_ACS20B:RG04    384.556690  384.882853     0.70477673
LI_ACS20B:RG05    384.882853  385.208444     0.70495241
LI_ACS20B:RG06    385.208444  385.533324     0.70512757
LI_ACS20B:RG07    385.533324  385.857347     0.70530213
LI_ACS20B:RG08    385.857347  386.180368     0.70547602
LI_ACS20B:RG09    386.180368  386.502235     0.70564917
LI_ACS20B:RG10    386.502235  386.822795     0.70582148
LI_ACS20B:RG11    386.822795  387.141889     0.70599289
LI_ACS20B:RG12    387.141889  387.459353     0.70616330
LI_ACS20B:RG13    387.459353  387.775018     0.70633263
LI_ACS20B:RG14    387.775018  388.088710     0.70650080
LI_ACS20B:RG15    388.088710  388.400249     0.70666770
LI_ACS20B:RG16    388.400249  388.709449     0.70683324
LI_ACS20B:RG17    388.709449  389.016117     0.70699734
LI_ACS21A:RG01    389.016117  389.335150     0.70716390
LI_ACS21A:RG02    389.335150  389.655244     0.70733387
LI_ACS21A:RG03    389.655244  389.976247     0.70750420
LI_ACS21A:RG04    389.976247  390.298010     0.70767481
LI_ACS21A:RG05    390.298010  390.620389     0.70784562
LI_ACS21A:RG06    390.620389  390.943239     0.70801656
LI_ACS21A:RG07    390.943239  391.266420     0.70818753
LI_ACS21A:RG08    391.266420  391.589792     0.70835849
LI_ACS21A:RG09    391.589792  391.913216     0.70852934
LI_ACS21A:RG10    391.913216  392.236553     0.70870001
LI_ACS21A:RG11    392.236553  392.559665     0.70887044
LI_ACS21A:RG12    392.559665  392.882412     0.70904055
LI_ACS21A:RG13    392.882412  393.204655     0.70921026
LI_ACS21A:RG14    393.204655  393.526250     0.70937951
LI_ACS21A:RG15    393.526250  393.847055     0.70954821
LI_ACS21A:RG16    393.847055  394.166922     0.70971631
LI_ACS21A:RG17    394.166922  394.485702     0.70988371
LI_ACS21B:RG01    394.485702  394.805916     0.71005104
LI_ACS21B:RG02    394.805916  395.127176     0.71021886
LI_ACS21B:RG03    395.127176  395.449334     0.71038703
LI_ACS21B:RG04    395.449334  395.772242     0.71055547
LI_ACS21B:RG05    395.772242  396.095758     0.71072409
LI_ACS21B:RG06    396.095758  396.419739     0.71089284
LI_ACS21B:RG07    396.419739  396.744047     0.71106163
LI_ACS21B:RG08    396.744047  397.068544     0.71123039
LI_ACS21B:RG09    397.068544  397.393092     0.71139905
LI_ACS21B:RG10    397.393092  397.717554     0.71156754
LI_ACS21B:RG11    397.717554  398.041793     0.71173579
LI_ACS21B:RG12    398.041793  398.365673     0.71190372
LI_ACS21B:RG13    398.365673  398.689053     0.71207127
LI_ACS21B:RG14    398.689053  399.011795     0.71223836
LI_ACS21B:RG15    399.011795  399.333756     0.71240493
LI_ACS21B:RG16    399.333756  399.654791     0.71257090
LI_ACS21B:RG17    399.654791  399.974754     0.71273619
